ucc,label,domain,all_cu_expenditure,q1_expenditure,q2_expenditure,q3_expenditure,q4_expenditure,q5_expenditure,m1_status,proposed_track_a_status,effective_track_a_status,review_status,resolution_state,track_a_rule_id,track_a_node,track_b_treatment,evidence_strength,suppression_status,notes
510902,Motorcycle and plane finance charges,Transportation,471.0,10.0,35.0,83.0,129.0,214.0,UNRESOLVED,OUT_OF_SCOPE,OUT_OF_SCOPE,ACCEPTED,EFFECTIVE,OS_CPI_VEHICLE_FINANCE_CHARGES_v0_1,,NOT_APPLICABLE,STRONG,NONE,EXCLUDE under OS_CPI_VEHICLE_FINANCE_CHARGES_v0_1 (ACCEPTED).
520110,State and local vehicle registration,Transportation,20114.0,1689.0,2730.0,3726.0,4953.0,7016.0,UNRESOLVED,TRANSFORMED,TRANSFORMED,ACCEPTED,EFFECTIVE,TR_VEHICLE_REGISTRATION_FEES_v0_1,TRANSPORT_SERVICES,NOT_APPLICABLE,STRONG,NONE,COMBINE under TR_VEHICLE_REGISTRATION_FEES_v0_1 (ACCEPTED).
790690,Construction materials for jobs not started,Housing,386.0,34.0,49.0,54.0,27.0,222.0,UNRESOLVED,OUT_OF_SCOPE,OUT_OF_SCOPE,ACCEPTED,EFFECTIVE,OS_CPI_CAPITAL_IMPROVEMENT_v0_1,,EXCLUDE_CAPITAL_ACQUISITION,MODERATE,NONE,EXCLUDE under OS_CPI_CAPITAL_IMPROVEMENT_v0_1 (ACCEPTED).
830111,Late fee mortgage pay (owned home),Housing,21.0,,7.0,,4.0,10.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1,,RETAIN_CURRENT_PAYMENT,STRONG,IMMATERIAL,"EXCLUDE under OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). Pending the PUMD annual-weighting and quintile benchmark validation required before the Track-A shelter rule is finalized. UCC 830111 has 2 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
830112,Late fee mortgage pay (owned vacation),Housing,,,,,,,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1,,RETAIN_CURRENT_PAYMENT,STRONG,IMMATERIAL,"EXCLUDE under OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). Pending the PUMD annual-weighting and quintile benchmark validation required before the Track-A shelter rule is finalized. UCC 830112 has 6 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
850300,Other vehicle finance charges,Transportation,3069.0,40.0,130.0,382.0,837.0,1681.0,UNRESOLVED,OUT_OF_SCOPE,OUT_OF_SCOPE,ACCEPTED,EFFECTIVE,OS_CPI_VEHICLE_FINANCE_CHARGES_v0_1,,NOT_APPLICABLE,STRONG,NONE,EXCLUDE under OS_CPI_VEHICLE_FINANCE_CHARGES_v0_1 (ACCEPTED).
880110,"Interest paid, home equity line of credit",Housing,17641.0,717.0,1162.0,3176.0,3853.0,8733.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1,,RETAIN_CURRENT_PAYMENT,STRONG,NONE,EXCLUDE under OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). Pending the PUMD annual-weighting and quintile benchmark validation required before the Track-A shelter rule is finalized.
880310,"Interest paid, home equity line of credit",Housing,151.0,,,,,151.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1,,RETAIN_CURRENT_PAYMENT,STRONG,IMMATERIAL,"EXCLUDE under OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). Pending the PUMD annual-weighting and quintile benchmark validation required before the Track-A shelter rule is finalized. UCC 880310 has 4 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
950024,Vehicle personal property taxes,Transportation,8620.0,724.0,1170.0,1597.0,2123.0,3007.0,UNRESOLVED,TRANSFORMED,TRANSFORMED,ACCEPTED,EFFECTIVE,TR_VEHICLE_REGISTRATION_FEES_v0_1,TRANSPORT_SERVICES,NOT_APPLICABLE,STRONG,NONE,COMBINE under TR_VEHICLE_REGISTRATION_FEES_v0_1 (ACCEPTED).
990900,"Rental and installation of dishwashers, range hoods, and garbage disposals",Housing,,,,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPEN,OPEN,UNRESOLVED_v0_2,,UNRESOLVED,WEAK,IMMATERIAL,"UNRESOLVED under UNRESOLVED_v0_2 (OPEN). Suppressed for All Consumer Units. Sibling 340907 'Appliance rentals' maps to HK090, but 990900 conflates rental with installation, and installation of built-in appliances maps to HP043 via 230117 and 230118. The concept spans two ELIs, so no single destination is determinable. UCC 990900 has 6 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
990920,"Materials for additions, finishing basements, and remodeling rooms",Housing,255.0,55.0,56.0,91.0,53.0,,UNRESOLVED,OUT_OF_SCOPE,OUT_OF_SCOPE,ACCEPTED,EFFECTIVE,OS_CPI_CAPITAL_IMPROVEMENT_v0_1,,EXCLUDE_CAPITAL_ACQUISITION,MODERATE,IMMATERIAL,"EXCLUDE under OS_CPI_CAPITAL_IMPROVEMENT_v0_1 (ACCEPTED). UCC 990920 has 1 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0039% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
990930,"Materials to finish basements, remodel rooms, or build patios or walkways",Housing,,,,,,,UNRESOLVED,OUT_OF_SCOPE,OUT_OF_SCOPE,ACCEPTED,EFFECTIVE,OS_CPI_CAPITAL_IMPROVEMENT_v0_1,,EXCLUDE_CAPITAL_ACQUISITION,MODERATE,IMMATERIAL,"EXCLUDE under OS_CPI_CAPITAL_IMPROVEMENT_v0_1 (ACCEPTED). UCC 990930 has 6 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
990940,Material for finishing basements and remodeling rooms,Housing,,,,,,,UNRESOLVED,OUT_OF_SCOPE,OUT_OF_SCOPE,ACCEPTED,EFFECTIVE,OS_CPI_CAPITAL_IMPROVEMENT_v0_1,,EXCLUDE_CAPITAL_ACQUISITION,MODERATE,IMMATERIAL,"EXCLUDE under OS_CPI_CAPITAL_IMPROVEMENT_v0_1 (ACCEPTED). UCC 990940 has 6 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
